episode,reward,avg_reward,max_reward,min_reward,entropy,policy_loss,value_loss
86,-19.0,-18.872093023255815,-15.0,-21.0,1.2517240727320313,-0.028619049975532107,0.03426759201101959
87,-20.0,-18.885057471264368,-15.0,-21.0,1.2153917318210006,-0.02924900878133485,0.024755085185461212
88,-20.0,-18.897727272727273,-15.0,-21.0,1.2526850430294871,-0.030015420794370584,0.0290429313245113
89,-20.0,-18.910112359550563,-15.0,-21.0,1.1489149988628924,-0.02397912814922165,0.02722173781512538
90,-15.0,-18.866666666666667,-15.0,-21.0,1.1061443337239325,-0.02807740464049857,0.03209758345474256
91,-15.0,-18.824175824175825,-15.0,-21.0,1.2631884347647429,-0.031643810332752764,0.024796657169645187
92,-19.0,-18.82608695652174,-15.0,-21.0,1.1122955279424787,-0.02844213567004772,0.03465809080807958
93,-17.0,-18.806451612903224,-15.0,-21.0,1.0878268443048,-0.02655832641903544,0.027943983281147666
94,-18.0,-18.79787234042553,-15.0,-21.0,1.0439659575931728,-0.021617016231175512,0.028961042284208816
95,-18.0,-18.789473684210527,-15.0,-21.0,1.1467979312874377,-0.03158726391848177,0.027699922735337168
96,-16.0,-18.760416666666668,-15.0,-21.0,1.0892996191978455,-0.02537620213115588,0.04529786281636916
97,-17.0,-18.742268041237114,-15.0,-21.0,1.0441215699538589,-0.02787694102153182,0.03995468313223682
98,-17.0,-18.724489795918366,-15.0,-21.0,1.1379100568592548,-0.027928770447033457,0.03956790355005069
99,-19.0,-18.727272727272727,-15.0,-21.0,1.1027309745550156,-0.030140929113258608,0.03173470740148332
100,-20.0,-18.74,-15.0,-21.0,1.13980349060148,-0.027176784264156595,0.056316305330256
101,-20.0,-18.73,-15.0,-21.0,1.2649865141138434,-0.033972703298786655,0.039385071489959955
102,-16.0,-18.68,-15.0,-21.0,1.1040383498184383,-0.029022649374383036,0.05071498999313917
103,-21.0,-18.7,-15.0,-21.0,1.0717633883468807,-0.028531214513350278,0.02662681191941374
104,-18.0,-18.69,-15.0,-21.0,1.1635308414697647,-0.03277184457692783,0.03060394852218451
105,-12.0,-18.61,-12.0,-21.0,1.0563803748227656,-0.023740295771858655,0.04492212417972041
106,-12.0,-18.52,-12.0,-21.0,1.0943291732110083,-0.0266596765286522,0.028232548233063426
107,-17.0,-18.49,-12.0,-21.0,1.1231327513232827,-0.03012979368213564,0.03782298268924933
108,-15.0,-18.43,-12.0,-21.0,1.0600950750522316,-0.02702459839201765,0.03242867474909872
109,-18.0,-18.4,-12.0,-21.0,1.1282646721228957,-0.031555021938402206,0.029877832646889146
110,-21.0,-18.41,-12.0,-21.0,1.1682079201564193,-0.029491177687305026,0.043042756311479025
111,-13.0,-18.33,-12.0,-21.0,1.1885291673243046,-0.02910476784745697,0.03250191094412003
112,-17.0,-18.29,-12.0,-21.0,1.2048117723315954,-0.029324624745640904,0.03354125743499026
113,-19.0,-18.3,-12.0,-21.0,1.1533952187746763,-0.029264207332744263,0.037228535540634766
114,-8.0,-18.17,-8.0,-21.0,1.104497185908258,-0.02779686670692172,0.044233653985429555
115,-18.0,-18.14,-8.0,-21.0,1.1679722871631384,-0.03204717312473804,0.03043974418687867
116,-14.0,-18.07,-8.0,-21.0,1.1694637890905142,-0.027887408577953465,0.03378772277937969
117,-18.0,-18.05,-8.0,-21.0,1.0970935435034335,-0.028730167483445257,0.030793221631029155
118,-15.0,-18.01,-8.0,-21.0,1.2040564622730017,-0.03285281918942928,0.025959019032598007
119,-13.0,-17.93,-8.0,-21.0,1.204736277461052,-0.022756183221645188,0.035256398005003575
120,-13.0,-17.89,-8.0,-21.0,1.1092965179122984,-0.029490681561583187,0.03421753639122471
121,-17.0,-17.86,-8.0,-21.0,1.1898203557357192,-0.032393637287896127,0.030270949369878508
122,-13.0,-17.79,-8.0,-21.0,1.087201853748411,-0.029527047779993154,0.027597195272392128
123,-11.0,-17.7,-8.0,-21.0,1.0476539838127792,-0.027685364526405465,0.02805479077505879
124,-12.0,-17.63,-8.0,-21.0,1.0255181738175452,-0.028099328894313658,0.027786501952505205
125,-13.0,-17.55,-8.0,-21.0,1.1571077750995755,-0.029935006474261172,0.034503149588999804
126,-13.0,-17.48,-8.0,-21.0,1.0975360018201172,-0.02951131966256071,0.03456458643631777
127,-21.0,-17.49,-8.0,-21.0,1.0309872794896364,-0.02924162666022312,0.031143818516284227
128,-8.0,-17.37,-8.0,-21.0,1.022016994189471,-0.02629093295399798,0.02638823203960783
129,-13.0,-17.3,-8.0,-21.0,1.076094617601484,-0.030684802564792335,0.022721136665495578
130,-12.0,-17.21,-8.0,-21.0,0.949742226395756,-0.02281253300316166,0.042463553851121105
131,-17.0,-17.19,-8.0,-21.0,0.9813711061142385,-0.02755220815015491,0.04070172270439798
132,-13.0,-17.12,-8.0,-21.0,1.028669717721641,-0.026887469561188482,0.036032800511748064
133,-12.0,-17.05,-8.0,-21.0,1.0114835533313453,-0.02745881143346196,0.028027338747051544
134,-16.0,-17.05,-8.0,-21.0,0.9665753222070634,-0.023660696831939276,0.035495891846949235
135,-15.0,-17.0,-8.0,-21.0,1.1627625590190291,-0.027600008543231525,0.04573067715682555
136,-17.0,-16.96,-8.0,-21.0,1.2631408236920834,-0.03159969585976796,0.03851588034740416
137,-15.0,-16.92,-8.0,-21.0,1.0052183805964887,-0.02606989603373222,0.02882401334500173
138,-14.0,-16.89,-8.0,-21.0,0.9581582392565906,-0.027153840812388808,0.028170553843665402
139,-16.0,-16.87,-8.0,-21.0,0.9660474332049489,-0.02448042882315349,0.03940646041883156
140,-13.0,-16.79,-8.0,-21.0,1.0478438478894532,-0.026493040830246173,0.03521499456837773
141,-5.0,-16.69,-5.0,-21.0,0.9314994071610272,-0.026733681457699277,0.03780064186139498
142,-11.0,-16.6,-5.0,-21.0,1.0236413655802608,-0.028946633799932897,0.03084803977253614
143,-9.0,-16.51,-5.0,-21.0,0.9918531491421163,-0.02678415607806528,0.030182004091329873
144,-7.0,-16.39,-5.0,-21.0,0.9422461842186749,-0.02468983556900639,0.031404381690663286
145,-17.0,-16.37,-5.0,-21.0,1.111390066333115,-0.03145483967819018,0.03968833862745669
146,-13.0,-16.3,-5.0,-21.0,0.9663138277828693,-0.023651096140383743,0.0382869038003264
147,-9.0,-16.2,-5.0,-21.0,1.2216842407360673,-0.034848938972572796,0.036585260822903365
148,-15.0,-16.19,-5.0,-21.0,1.2809669496491551,-0.03755962090508547,0.04140617345547071
149,-20.0,-16.23,-5.0,-21.0,1.037525919266045,-0.02714646078675287,0.039900089366710745
150,-15.0,-16.21,-5.0,-21.0,1.043303448241204,-0.030690097562910523,0.04149577246425906
151,-15.0,-16.19,-5.0,-21.0,1.0546223144046962,-0.030095589863776695,0.03787254879716784
152,-9.0,-16.09,-5.0,-21.0,1.0286229806952178,-0.03255326417274773,0.03583861041261116
153,-9.0,-15.98,-5.0,-21.0,1.194514607079327,-0.03338907766737975,0.02961246090126224
154,-13.0,-15.94,-5.0,-21.0,0.9772726544179022,-0.029154599411413074,0.04152975774195511
155,-13.0,-15.88,-5.0,-21.0,1.224170203320682,-0.03324155205336865,0.04209055576939136
156,4.0,-15.66,4.0,-21.0,1.200838060118258,-0.034799535817001015,0.03778718189278152
157,-16.0,-15.61,4.0,-21.0,1.1849055094644427,-0.03373027125780936,0.028898769960505888
158,-18.0,-15.6,4.0,-21.0,0.9793710089288652,-0.029483443657227326,0.03442824907688191
159,-10.0,-15.49,4.0,-21.0,0.9906447781249881,-0.03068208086915547,0.03568848991562845
160,-13.0,-15.46,4.0,-21.0,1.256383121944964,-0.03374407613591757,0.03655662921664771
161,-9.0,-15.39,4.0,-21.0,0.9869212154299021,-0.028960935203940608,0.03978018348425394
162,-5.0,-15.29,4.0,-21.0,1.1798413274809718,-0.029912128200521693,0.034190454534837045
163,-10.0,-15.2,4.0,-21.0,0.9562573423609138,-0.02843197876063641,0.03864868664459209
164,-16.0,-15.19,4.0,-21.0,1.0650188871659338,-0.02751816993986722,0.04463937239052029
165,-15.0,-15.14,4.0,-21.0,0.9947025580331683,-0.026839167228899896,0.031377932860777946
166,-9.0,-15.04,4.0,-21.0,0.9349660696461797,-0.025649059178249445,0.03628535759344231
167,-6.0,-14.92,4.0,-21.0,1.026091720443219,-0.02821200859034434,0.025498354581941385
168,-18.0,-14.93,4.0,-21.0,0.9390889070928097,-0.027488493440614548,0.03323481582629029
169,-6.0,-14.8,4.0,-21.0,1.013367477338761,-0.02905041076883208,0.030484404909657314
170,-11.0,-14.72,4.0,-21.0,1.108571880031377,-0.033766939137422014,0.03353698080172762
171,-7.0,-14.58,4.0,-21.0,1.135443993844092,-0.02847904321970418,0.03914789456757717
172,-11.0,-14.52,4.0,-21.0,0.9578865664079785,-0.02803674821916502,0.027560785398236476
173,-15.0,-14.46,4.0,-21.0,0.9721268862485886,-0.02532372322457377,0.036049163645657245
